date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:46:42	18020/18020	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2005:46:42%20GMT	https://lnsp-cg.org/ncov2/index.php	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/index.html	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:42	1453/1453	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2003:37:33%20GMT	https://lnsp-cg.org/ncov2/style.css	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/style.css	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:42	56517/56517	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20May%202020%2012:47:46%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:43	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/Silva/Documents/site/pcr/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:43	164930/164930	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20May%202020%2012:47:44%20GMT	https://lnsp-cg.org/ncov2/lnsp/css/sb-admin-2.min.css	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/css/sb-admin-2.min.css	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:44	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2007%20Dec%202022%2005:46:44%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/Silva/Documents/site/pcr/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.16.delayed	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:44	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/Silva/Documents/site/pcr/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:45	25716/25716	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2005:46:45%20GMT	https://lnsp-cg.org/index.php	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/index.html	(from https://lnsp-cg.org/ncov2/index.php)
06:46:46	212898/212898	---M--	200	added ('OK')	image/gif	date:Mon,%2024%20Aug%202020%2001:04:25%20GMT	https://lnsp-cg.org/images/labolnspAnciennePhoto.GIF	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/images/labolnspAnciennePhoto.gif	(from https://lnsp-cg.org/ncov2/Bulletin.php?id=111LN6661M449151&scp=https://lnsp-cg.org/rload.php?q=111LN6661M449151)
06:46:46	51746/51746	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2012%20Apr%202021%2018:07:20%20GMT	https://lnsp-cg.org/images/cielblue.jpeg	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/images/cielblue.jpg	(from https://lnsp-cg.org/ncov2/index.php)
06:46:47	486637/486637	---MCZ	200	added ('OK')	application/x-javascript	etag:%2276ced-5ef0dc396376f-gzip%22	https://canvasjs.com/assets/script/canvasjs.min.js	C:/Users/Silva/Documents/site/pcr/canvasjs.com/assets/script/canvasjs.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:47	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:47%20GMT	https://lnsp-cg.org/ncov2/vendor/jquery/jquery.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/jquery/jquery.min.js	(from https://lnsp-cg.org/ncov2/index.php)
